id,name,short,long,confidence,match_confidence
48260,Daniel Köllerer,Tennis player,Daniel Köllerer is a former professional tennis player from Austria who turned professional in 2002 and was given a lifetime ban in 2011 for match fixing.,88.62183380126953,76.0
46291,Krzysztof Majchrzak,Polish film actor,Krzysztof Majchrzak is a Polish film actor. His first part in a major production was in Andrzej Wajda's The Promised Land. He has appeared in 30 films since 1975. ,99.89999389648438,75.0
75908,Bastiaan Ragas,Dutch singer,"Bastiaan Johannes Ragas is a Dutch singer and actor. Born in Lisse, he was the youngest of three brothers. Ragas learnt piano and guitar at school. ",99.96568298339844,70.0
67935,Oldřich Navrátil,,,99.98765563964844,93.0
31085,Tajh Boyd,American football quarterback,"Tajh Khiry Boyd is a former American football quarterback. He was drafted by the New York Jets in the sixth round of the 2014 NFL Draft. He played college football at Clemson, where he was the starting quarterback from 2011 to 2013.",97.9441146850586,69.0
41387,Barack Obama,44th U.S. President,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. ",99.96541595458984,96.0
51387,Wang Feng,,"Wang Feng is a Chinese mnemonist, the two-time winner of the World Memory Championships and the first non-European to win the title.
",99.99446105957033,56.0
60823,Bernard Telsey Casting Inc.,,,99.99505615234376,93.0
95176,Barack Obama,44th U.S. President,"Barack Hussein Obama II is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. ",99.92089080810548,99.0
98314,Bernie Sanders,United States Senator,Bernard Sanders is an American politician who has served as the junior United States senator from Vermont since 2007 and as U.S. Representative for the state's at-large congressional district from 1991 to 2007. ,99.98004913330078,100.0
98314,Donald Trump,45th U.S. President,"Donald John Trump is an American media personality, businessman, and politician who served as the 45th president of the United States from 2017 to 2021.
",99.99767303466795,80.0
72058,Piper Reese,American reporter,"Piper Reese is an American kid's entertainment reporter, Internet celebrity and actress who hosts her own podcasts and YouTube series, Piper's Picks TV, Teen Tech Talk and InsPIPERation. Reese is the older of two children. ",99.975830078125,74.0
19845,Donald Trump,45th U.S. President,"Donald John Trump is an American media personality, businessman, and politician who served as the 45th president of the United States from 2017 to 2021.
",99.99624633789062,92.0
80231,Mitt Romney,United States Senator,,99.98587036132812,100.0
64925,Slug,Animal,"Slug, or land slug, is a common name for any apparently shell-less terrestrial gastropod mollusc. The word slug is also often used as part of the common name of any gastropod mollusc that has no shell, a very reduced shell, or only a small internal shell, particularly sea slugs and semislugs.
",99.97527313232422,81.0
41368,Perfect,Song by Ed Sheeran,,99.99333953857422,100.0
23954,Joe Biden,46th U.S. President,"Joseph Robinette Biden Jr. is an American politician serving as the 46th president of the United States. A member of the Democratic Party, he served as the 47th vice president from 2009 to 2017 under Barack Obama and represented Delaware in the United States Senate from 1973 to 2009.
",99.95203399658205,100.0
9238,Jamia Simone Nash,,,99.9997329711914,63.0
49076,Rowan Atkinson,Actor,"Rowan Sebastian Atkinson CBE is an English actor, comedian, and writer. He is best known for his work on the sitcoms Blackadder and Mr. Bean. ",99.99990844726562,69.0
52790,Maile Flanagan,American television actress,"Maile Flanagan is an American television, film and voice actress. She is best known for her roles as Naruto Uzumaki in the English dub of Naruto and Terry Perry on Lab Rats. ",99.9984359741211,56.0
16437,Ice Cube,American rapper,"O'Shea Jackson, better known by his stage name Ice Cube, is an American rapper, actor, and filmmaker. His lyrics on N.W.A's 1988 album Straight Outta Compton contributed to gangsta rap's widespread popularity, and his political rap solo albums of 1990 and 1991 were critically and commercially successful. ",99.9998550415039,100.0
37690,Joel Edgerton,Australian actor,"Joel Edgerton is an Australian actor and filmmaker. He has appeared in the films Star Wars: Episode II – Attack of the Clones, Star Wars: Episode III – Revenge of the Sith as a young Owen Lars, King Arthur as Gawain,
",100.0,74.0
19238,Caitlyn Jenner,American television personality,"Caitlyn Marie Jenner is an American television personality and retired Olympic gold medal-winning decathlete.
Jenner played college football for the Graceland Yellowjackets before incurring a knee injury that required surgery. ",99.99837493896484,100.0
19238,Tracy K. Smith,American poet,"Tracy K. Smith is an American poet and educator. She served as the 22nd Poet Laureate of the United States from 2017 to 2019. She has published four collections of poetry, winning the Pulitzer Prize for her 2011 volume Life on Mars Her memoir, Ordinary Light, was published in 2015.
",99.998779296875,67.0
32168,Charles Greene,American olympic athlete,"Charles Edward ""Charlie"" Greene is a retired African-American track and field sprinter and winner of the gold medal in the 4 × 100 metres relay at the 1968 Summer Olympics.
",99.99920654296876,55.0
32168,Kristen Skjeldal,Skier,Kristen Skjeldal is an Olympic champion and cross-country skier from Norway. He has won three olympic medals: two gold and one bronze. He won his first gold medal in the 4 × 10 km relay at the 1992 Winter Olympics in Albertville. ,99.96234893798828,82.0
43928,A. Q. Shipley,American football center,Allan Quay Shipley is a former American football center that played twelve seasons in the National Football League. He played college football for Penn State and was drafted by the Pittsburgh Steelers in the seventh round of the 2009 NFL Draft. ,99.99868774414062,84.0
34815,Hillary Clinton,Former United States Secretary of State,"Hillary Diane Rodham Clinton is an American politician, diplomat, lawyer, writer, and public speaker who served as the 67th United States secretary of state from 2009 to 2013, as a United States senator from New York from 2001 to 2009, and as First Lady of the United States from 1993 to 2001. ",99.99669647216795,100.0
63472,Will Ferrell,American actor,"John William Ferrell is an American actor, comedian, producer, writer, and businessman. He first established himself in the mid-1990s as a cast member on the NBC sketch comedy show Saturday Night Live, and has subsequently starred in comedy films such as Anchorman: The Legend of Ron Burgundy, Talladega Nights, Step Brothers, The Other Guys, and Anchorman 2: The Legend Continues, all but one of which he co-wrote with his comedy partner Adam McKay. ",99.94547271728516,100.0
57984,Pavel Durov,Entrepreneur,"Pavel Valerievich Durov is a Russian-born entrepreneur who is best known for being the founder of the social networking site VK, and later the Telegram Messenger. He is the younger brother of Nikolai Durov. ",99.99649047851562,100.0
57984,Priscilla Chan,American pediatrician,"Priscilla Chan is an American former pediatrician and philanthropist. She and her husband Mark Zuckerberg, the co-founder and CEO of Facebook, Inc., established the Chan Zuckerberg Initiative in December 2015, with a pledge to transfer 99 percent of their Facebook shares, then valued at $45 billion. ",100.0,73.0
57984,Priscilla Chan,American pediatrician,"Priscilla Chan is an American former pediatrician and philanthropist. She and her husband Mark Zuckerberg, the co-founder and CEO of Facebook, Inc., established the Chan Zuckerberg Initiative in December 2015, with a pledge to transfer 99 percent of their Facebook shares, then valued at $45 billion. ",99.97377014160156,99.0
92467,Ilhan Omar,U.S. Representative,Ilhan Abdullahi Omar is an American politician serving as the U.S. Representative for Minnesota's 5th congressional district since 2019. She is a member of the Democratic–Farmer–Labor Party. ,99.99916076660156,100.0
41503,Josh Pyke,Australian singer-songwriter,Joshua Jon Pyke is an Australian singer-songwriter and musician.,99.9832000732422,96.0
58372,Donald Trump,45th U.S. President,"Donald John Trump is an American media personality, businessman, and politician who served as the 45th president of the United States from 2017 to 2021.
",99.9716796875,98.0
58372,Bill Cosby,American comedian,"William Henry Cosby Jr. is an American stand-up comedian, actor, and author who held an active career for over six decades before being convicted of a number of sex offenses in 2018.
",99.98970794677734,96.0
58372,Matt Lauer,American news anchor,"Matthew Todd Lauer is a former American television news anchor. He was the co-host of NBC's Today show from 1997 to 2017, and a contributor for Dateline NBC. ",99.98983764648438,89.0
63921,Joan Benedict Steiger,American actress,"Joan Benedict Steiger is an American actress, perhaps best known for her role as Edith Fairchild on General Hospital.
Benedict Steiger was born in Brooklyn, New York and first performed at the age of seven at the Brooklyn Academy of Music. ",99.9636688232422,81.0
63921,Joelle Carter,American actress,"Joelle Marie Carter is an American actress, comedian, producer and dancer. She is known for playing Ava Crowder in the FX series Justified.",99.97662353515624,67.0
63921,Kristin Otto,Olympic athlete,"Kristin Otto is a German Olympic swimming champion. She is most famous for being the first woman to win six gold medals at a single Olympic Games, doing so at the 1988 Seoul Olympic games. ",99.9969482421875,91.0
1937,Giuliano Stroe,Romanian gymnast,"Giuliano Stroe is a Romanian gymnast and child bodybuilder.
In 2009, he was recorded in the Guinness Book of World Records after setting the record for the fastest ever ten metres hand-walk with a weight ball between his legs.
",99.97804260253906,78.0
8645,Sam Elliott,American actor,"Samuel Pack Elliott is an American actor. He is the recipient of several accolades, including a National Board of Review Award, and has been nominated for an Academy Award, two Golden Globe Awards, two Primetime Emmy Awards, and two Screen Actors Guild Awards.
",99.4888916015625,98.0
8645,Kadıköy Haldun Taner Stage,"Theatre in Istanbul, Turkey","Kadıköy Haldun Taner Stage is a theatre venue located in Kadıköy district of Istanbul, Turkey. It is owned by Istanbul Metropolitan Municipality and operated by its City Theatres division. ",99.96063995361328,89.0
